"","X801010.SI","X801020.SI","X801030.SI","X801040.SI","X801050.SI","X801080.SI","X801110.SI","X801120.SI","X801130.SI","X801140.SI","X801150.SI","X801160.SI","X801170.SI","X801180.SI","X801200.SI","X801210.SI","X801230.SI","X801710.SI","X801720.SI","X801730.SI","X801740.SI","X801750.SI","X801760.SI","X801770.SI","X801780.SI","X801790.SI","X801880.SI","X801890.SI","X801010.SI.1","X801020.SI.1","X801030.SI.1","X801040.SI.1","X801050.SI.1","X801080.SI.1","X801110.SI.1","X801120.SI.1","X801130.SI.1","X801140.SI.1","X801150.SI.1","X801160.SI.1","X801170.SI.1","X801180.SI.1","X801200.SI.1","X801210.SI.1","X801230.SI.1","X801710.SI.1","X801720.SI.1","X801730.SI.1","X801740.SI.1","X801750.SI.1","X801760.SI.1","X801770.SI.1","X801780.SI.1","X801790.SI.1","X801880.SI.1","X801890.SI.1"
"801010.SI",1,0.488200379446309,0.684216025059322,0.259858649851451,0.404051486550942,0.589236539502023,0.456367167004058,0.364035178658453,0.683177478512546,0.686673603554131,0.56183596910951,0.245612304259313,0.358115441108342,0.507253077165445,0.756824747991981,0.473045435039329,0.598535982820041,0.488537889470295,0.214713110986311,0.704231773624379,0.333595614986431,0.434016923832472,0.285937847392648,0.675540243208287,0.00758448464366265,0.466306699344712,0.351081957136278,0.583723728064049,0,-215,1,181,-173,0,1,-5,0,1,1,-1,94,289,2,1,-1,-3,-164,0,2,5,55,2,300,300,2,0
"801020.SI",0.488200379446309,1,0.286809253125867,0.0883665289981778,0.682633960725086,0.203367729283705,0.135114933201098,0.573298883510168,0.38919386038824,0.186631165182341,0.189101287091635,0.0317496657834679,0.106487522775158,-0.070410563582495,0.578037442863694,-0.0018767857483405,0.278439763124204,0.614146385594489,0.218867987605702,0.560575630094018,0.216309526637535,0.0889766067303839,-0.0522014527326721,0.353266779641048,0.145259534445405,-0.0995379402029673,0.275592710881862,0.54592869448586,215,0,298,0,40,173,171,-156,166,173,213,214,211,52,216,170,164,86,215,216,167,225,227,245,-278,300,212,162
"801030.SI",0.684216025059322,0.286809253125867,1,0.312550503763216,0.205165950227988,0.475323171490864,0.457499061206877,0.0360217056023773,0.527788037933836,0.679242002908374,0.440752265153999,0.401973870077214,0.39788316304528,0.320526204952463,0.451255971472675,0.435115768304481,0.530975197033316,0.212529354582477,0.269868882137158,0.541345153211422,0.261639351362225,0.511917930761425,0.415808020909529,0.791260840100145,0.162682156078538,0.475084327582734,0.279827544793054,0.309170269417569,-1,-298,0,113,-259,0,0,-8,-1,0,0,-4,133,260,-1,-1,-1,0,-268,-1,162,3,4,0,-62,300,0,2
"801040.SI",0.259858649851451,0.0883665289981778,0.312550503763216,1,0.247682974436073,0.629233806115325,0.627998116641858,0.086001971389397,0.377559138357309,0.506300284782381,0.574850077845701,0.323489137614017,0.620021951215318,0.490858509079391,0.338320442817541,0.582356471287332,0.500513536232052,0.196682058909197,0.458574955045448,0.438349264679178,0.517457227150944,0.548688405091416,0.730669273640692,0.458632644847119,0.159129501187569,0.460222245728782,0.58145395076964,0.391832917046873,-181,0,-113,0,80,238,284,-227,-122,234,282,275,-31,-283,225,237,200,145,-119,226,174,280,290,271,300,97,204,60
"801050.SI",0.404051486550942,0.682633960725086,0.205165950227988,0.247682974436073,1,0.417380991214131,0.25874091257649,0.537847994037113,0.498507884943513,0.324936423389379,0.351300602857704,0.0504510234158502,0.167960093081262,0.00708712536767861,0.591569828117572,0.352496501894961,0.433578223374286,0.629675035763294,0.132538879991395,0.515024415913252,0.303246017503006,0.21972402574266,0.17854991183762,0.279294432523815,0.156841193089825,0.00927729250689182,0.45713241363869,0.499739161776101,173,-40,259,-80,0,132,139,-248,132,136,142,176,168,300,171,128,127,5,-206,142,3,164,171,176,-300,300,126,131
"801080.SI",0.589236539502023,0.203367729283705,0.475323171490864,0.629233806115325,0.417380991214131,1,0.833111307676936,0.19339266778601,0.566359359931612,0.772696485059552,0.855048035151058,0.168102665974478,0.386737136869379,0.518422366038883,0.608600494934399,0.748544669603669,0.788681195937383,0.471837982513483,0.440782665952802,0.687952567561734,0.553323237144737,0.634687500109929,0.649560343293441,0.554192207339643,0.245371805244431,0.371386258968529,0.782626231383773,0.579175221856269,0,-173,0,-238,-132,0,0,-4,-1,0,1,-300,-287,268,-1,-1,-2,-56,-294,0,-1,2,5,0,300,300,0,-2
"801110.SI",0.456367167004058,0.135114933201098,0.457499061206877,0.627998116641858,0.25874091257649,0.833111307676936,1,0.107516007980271,0.38019980014895,0.643842133362201,0.728336562304522,0.181507889508168,0.425115347587711,0.339042278560876,0.49432441375141,0.5689448739314,0.601926980775795,0.428836276776857,0.5780398851524,0.588648536294829,0.453583965361025,0.496927185498131,0.660721149518522,0.513406621810965,0.371013229454375,0.463814899899009,0.686684492219873,0.433920520091462,-1,-171,0,-284,-139,0,0,-54,-3,-2,0,-300,-300,255,-1,-3,-5,-7,-300,-1,-46,4,12,1,241,-261,0,-1
"801120.SI",0.364035178658453,0.573298883510168,0.0360217056023773,0.086001971389397,0.537847994037113,0.19339266778601,0.107516007980271,1,0.284046160658583,0.0971813645015612,0.249368441006556,0.00639268535702599,-0.0473192796111757,-0.0145352231302035,0.291557820276486,0.180474122288663,0.192116507812064,0.545026287916789,0.225064840714935,0.203987644740365,0.218259524634546,-0.124643466325585,0.0652947870904239,-0.10757274981697,0.214887434455751,0.0139039652681181,0.200896926322387,0.402632215716733,5,156,8,227,248,4,54,0,215,148,1,-300,300,283,216,3,214,252,280,300,217,250,-300,131,-300,300,255,254
"801130.SI",0.683177478512546,0.38919386038824,0.527788037933836,0.377559138357309,0.498507884943513,0.566359359931612,0.38019980014895,0.284046160658583,1,0.861697479656081,0.303160316782879,0.352919995077444,0.627170738153089,0.351815210341893,0.748105952784813,0.727664462126906,0.861703449719466,0.500208934228852,0.271644616466387,0.588127687296575,0.547958497482442,0.643065598494837,0.307220309544811,0.593025850310109,-0.0143435626958885,0.465291706611488,0.501821611979588,0.675456414069235,0,-166,1,122,-132,1,3,-215,0,0,1,300,122,281,2,0,-1,0,144,3,4,6,10,3,-300,260,2,3
"801140.SI",0.686673603554131,0.186631165182341,0.679242002908374,0.506300284782381,0.324936423389379,0.772696485059552,0.643842133362201,0.0971813645015612,0.861697479656081,1,0.571387034611982,0.338536975492124,0.642418412323576,0.457394119786304,0.738316283272485,0.811637073792386,0.898246665612806,0.408306637911993,0.475044424116039,0.67168542156956,0.658205324097665,0.806723128068205,0.618075753108614,0.73422071796229,0.178904596741329,0.496766405995677,0.630819936040304,0.622848867132158,-1,-173,0,-234,-136,0,2,-148,0,0,1,300,-1,271,1,-1,-1,-1,-286,1,4,4,7,1,300,215,1,2
