"","X801010.SI","X801020.SI","X801030.SI","X801040.SI","X801050.SI","X801080.SI","X801110.SI","X801120.SI","X801130.SI","X801140.SI","X801150.SI","X801160.SI","X801170.SI","X801180.SI","X801200.SI","X801210.SI","X801230.SI","X801710.SI","X801720.SI","X801730.SI","X801740.SI","X801750.SI","X801760.SI","X801770.SI","X801780.SI","X801790.SI","X801880.SI","X801890.SI","X801010.SI.1","X801020.SI.1","X801030.SI.1","X801040.SI.1","X801050.SI.1","X801080.SI.1","X801110.SI.1","X801120.SI.1","X801130.SI.1","X801140.SI.1","X801150.SI.1","X801160.SI.1","X801170.SI.1","X801180.SI.1","X801200.SI.1","X801210.SI.1","X801230.SI.1","X801710.SI.1","X801720.SI.1","X801730.SI.1","X801740.SI.1","X801750.SI.1","X801760.SI.1","X801770.SI.1","X801780.SI.1","X801790.SI.1","X801880.SI.1","X801890.SI.1"
"801150.SI",0.56183596910951,-0.0185523771745772,0.440752265153999,-0.142377436996603,0.240999135396794,0.855048035151058,0.728336562304522,0.249368441006556,0.303160316782879,0.571387034611982,1,0.33518089050743,0.0765170963575946,-0.053238241183129,0.498263246925719,0.571592753349009,0.525240842073845,0.421362238066257,-0.185991199994469,0.63551033210235,0.341549495154975,0.487141268509835,0.66813847766207,0.492812773015455,0.371790583797369,-0.0403642931417867,0.576061240227455,0.361985470092508,-1,-100,0,-100,-100,-1,0,-1,-1,-1,0,-1,-5,100,-1,-2,-4,-100,9,-2,-1,1,2,-1,100,-100,-3,-3
"801160.SI",0.245612304259313,-0.29122110795414,0.401973870077214,0.249337280596011,-0.165176369660157,0.14759136518803,0.125252913362719,-0.340899794248185,0.157134657206835,0.313061173521551,0.33518089050743,1,0.596266463749166,0.563280155822077,0.180019344957829,0.202860039760004,0.193901452036085,0.0293376104288761,0.612186870443644,0.37333483929785,0.301999573848877,0.51776301088006,0.52675001062132,0.557286229181635,0.0980245691760809,0.403575164370087,0.203990418070562,0.145084243921509,1,-100,4,100,-100,1,0,3,-100,-1,1,0,0,-100,0,-90,-100,-100,4,-2,2,3,2,2,100,100,-100,2
"801170.SI",0.358115441108342,-0.157497584435515,0.388751413855745,0.620021951215318,0.0294955290906938,0.233920206101132,0.148724492221376,-0.211856547003762,0.621638590652136,0.642418412323576,0.0765170963575946,0.596266463749166,1,0.352335145811183,0.536974289180983,0.442273070878459,0.47076199326476,0.168069844226163,0.46349065946095,0.390708962144082,0.596031664638543,0.752622706251292,0.429469614370484,0.583715130242017,-0.248382949851255,0.572464336405057,0.229826765251054,0.422495157087537,-94,-100,5,31,-100,8,42,-100,-100,1,5,0,0,-100,2,1,0,-100,0,2,7,11,14,4,-78,100,100,3
"801180.SI",-0.139908521044928,-0.070410563582495,0.166191338417997,0.0863809888360858,0.00300191706734051,0.0403521248994265,0.0539284817284606,-0.243101926969912,0.176919286919457,0.13703625992602,-0.053238241183129,0.563280155822077,0.352335145811183,1,-0.103643863036726,0.264729825427131,0.15869672342956,-0.146639388664399,0.553760826104782,-0.0373621422971908,-0.0352094752476698,0.167654826477038,0.14847832479456,0.127407242634821,0.296585686914982,0.29498442962138,0.280238816369775,-0.1076390516423,-100,-52,-85,100,-48,-100,-100,-90,2,0,-100,100,100,0,-100,0,1,3,100,42,42,11,13,100,-92,100,-100,100
"801200.SI",0.756824747991981,0.359947189847392,0.451255971472675,0.182114999496465,0.440529295731047,0.608600494934399,0.49432441375141,0.255065337805586,0.748105952784813,0.738316283272485,0.498263246925719,0.180019344957829,0.536974289180983,-0.103643863036726,1,0.530678520006142,0.686928382818335,0.563741879321165,0.103286623662079,0.794762724642636,0.602009795551991,0.63758231837205,0.412320164851315,0.654358697549778,-0.151817817366355,0.134356055275147,0.577715271824826,0.728471005171477,-2,-100,1,-1,-100,1,1,-99,-2,-1,1,0,-2,100,0,-1,-2,-100,3,0,2,3,6,2,100,100,2,-1
"801210.SI",0.473045435039329,-0.0835509173705375,0.435115768304481,0.188127953163252,0.32017030347835,0.748544669603669,0.5689448739314,0.180474122288663,0.727664462126906,0.811637073792386,0.571592753349009,0.202860039760004,0.442273070878459,0.264729825427131,0.530678520006142,1,0.78682912009594,0.163981097631727,-0.0670127520058175,0.425284692833808,0.440857976774394,0.679966046825849,0.615015803452884,0.486394340383274,0.0745511474334416,0.157838944120802,0.628391998749603,0.354325580120874,-1,-100,1,-100,-100,1,3,-3,0,1,2,90,-1,0,1,0,0,-2,100,2,3,5,13,3,100,-100,0,1
"801230.SI",0.598535982820041,0.213525210570356,0.530975197033316,0.275100804715855,0.394960800413355,0.788681195937383,0.601926980775795,0.135228312490504,0.861703449719466,0.898246665612806,0.525240842073845,0.193901452036085,0.47076199326476,0.15869672342956,0.686928382818335,0.78682912009594,1,0.613037102922078,0.123913062990177,0.660721347453467,0.705436070262263,0.687615043567729,0.484015838444678,0.591199699385933,-0.126479907350192,0.0741723424167079,0.706606309132043,0.734157683162705,1,-100,1,-100,-100,2,5,-98,1,1,4,100,0,-1,2,0,0,1,100,4,5,6,11,4,-68,100,3,4
"801710.SI",0.488537889470295,0.614146385594489,0.212529354582477,0.165416931008209,0.629675035763294,0.471837982513483,0.428836276776857,0.323841844123724,0.500208934228852,0.408306637911993,0.421362238066257,0.0293376104288761,0.168069844226163,-0.146639388664399,0.563741879321165,0.163981097631727,0.613037102922078,1,0.173906854521056,0.623924147189432,0.524150166191422,0.235508158853587,0.10861550927709,0.267652283276213,-0.206116499759608,-0.16424041430663,0.492017037825912,0.811191946506575,3,-86,0,-99,-5,56,7,-100,0,1,100,100,100,-3,100,2,-1,0,70,58,2,100,100,83,-100,100,5,4
"801720.SI",0.129624062026418,0.0188542774278799,0.128773753444219,0.443735629085273,-0.13246341535091,-0.211719999904927,-0.18299058857735,-0.21697612753516,0.245855941920252,0.134002045458822,-0.185991199994469,0.612186870443644,0.46349065946095,0.553760826104782,0.103286623662079,-0.0670127520058175,0.123913062990177,0.173906854521056,1,0.205214483931336,0.174475930154648,0.241819088404773,0.0212073197639047,0.265145741216884,0.0247383206081974,0.453706104838259,-0.141092798712535,0.313835833974286,-4,-100,-100,100,-100,-100,-100,100,-100,-100,-9,-4,0,-100,-3,-100,-100,-70,0,-19,-4,-3,-100,-4,-100,82,-100,-3
"801730.SI",0.704231773624379,0.377448236412239,0.541345153211422,0.150106149501472,0.400253720930207,0.687952567561734,0.588648536294829,-0.0245932809393047,0.588127687296575,0.67168542156956,0.63551033210235,0.37333483929785,0.390708962144082,-0.0373621422971908,0.794762724642636,0.425284692833808,0.660721347453467,0.623924147189432,0.205214483931336,1,0.568853723407619,0.627181027024482,0.501838838642198,0.7974624155145,0.0279389896220172,0.0907856423377271,0.653377719665408,0.739947261180629,0,-100,1,-100,-100,0,1,-100,-3,-1,2,2,-2,-42,0,-2,-4,-58,19,0,-1,3,8,2,100,100,0,-2
"801740.SI",0.333595614986431,0.126841368207224,0.254026559683471,0.464856117329345,0.303246017503006,0.553323237144737,0.453583965361025,-0.103568010101425,0.547958497482442,0.658205324097665,0.341549495154975,0.301999573848877,0.596031664638543,-0.0352094752476698,0.602009795551991,0.440857976774394,0.705436070262263,0.524150166191422,0.174475930154648,0.568853723407619,1,0.645585265279607,0.408582809511002,0.440838026080541,-0.160926593407366,0.364797758049415,0.577218733882573,0.758281024385241,-2,-100,-3,-11,-3,1,46,-100,-4,-4,1,-2,-7,-42,-2,-3,-5,-2,4,1,0,2,56,0,100,100,2,0
"801750.SI",0.434016923832472,-0.155880745504198,0.511917930761425,0.370825025172933,0.0991972503254524,0.634687500109929,0.496927185498131,-0.215121054367067,0.643065598494837,0.806723128068205,0.487141268509835,0.51776301088006,0.752622706251292,0.167654826477038,0.63758231837205,0.679966046825849,0.687615043567729,0.235508158853587,0.241819088404773,0.627181027024482,0.645585265279607,1,0.787654148315061,0.763056786677619,0.0489332677145376,0.444425689523043,0.491286111500546,0.540751450360969,-5,-100,-3,-58,-100,-2,-4,-100,-6,-4,-1,-3,-11,-11,-3,-5,-6,-100,3,-3,-2,0,2,-2,100,100,-3,-3
"801760.SI",0.285937847392648,-0.297805970134757,0.415808020909529,0.0648679478120576,0.00841973187726792,0.649560343293441,0.660721149518522,-0.189640821564913,0.307220309544811,0.618075753108614,0.66813847766207,0.52675001062132,0.429469614370484,0.14847832479456,0.412320164851315,0.615015803452884,0.484015838444678,0.10861550927709,0.0212073197639047,0.501838838642198,0.408582809511002,0.787654148315061,1,0.645353636431499,0.35163736977732,0.19598686941334,0.506237810224056,0.239161366211701,-55,-100,-4,-100,-100,-5,-12,-61,-10,-7,-2,-2,-14,-13,-6,-13,-11,-100,100,-8,-56,-2,0,-4,100,100,-100,-100
"801770.SI",0.675540243208287,0.039128040250627,0.791260840100145,0.280339855711703,0.0421548343362536,0.554192207339643,0.513406621810965,-0.112968036989479,0.593025850310109,0.73422071796229,0.492812773015455,0.557286229181635,0.583715130242017,0.127407242634821,0.654358697549778,0.486394340383274,0.591199699385933,0.267652283276213,0.265145741216884,0.7974624155145,0.440838026080541,0.763056786677619,0.645353636431499,1,-0.00928846880389304,0.170899925070726,0.395811652264243,0.516625252961433,-2,-100,0,100,-100,0,-1,-100,-3,-1,1,-2,-4,-100,-2,-3,-4,-83,4,-2,0,2,4,0,100,-100,-2,-1
"801780.SI",-0.043462078086477,0.0055269789727028,0.162682156078538,-0.0939265133290388,-0.0967355904950948,0.228926054863662,0.273783531863078,0.186314100328774,-0.133168438611419,-0.0584500818326998,0.371790583797369,0.0980245691760809,-0.248382949851255,0.296585686914982,-0.151817817366355,0.0745511474334416,-0.126479907350192,-0.206116499759608,0.0247383206081974,0.0279389896220172,-0.160926593407366,0.0489332677145376,0.35163736977732,-0.00928846880389304,1,0.109304986736592,0.171975642039206,-0.259924144868792,73,100,62,100,100,-100,-100,93,81,72,-100,-100,78,92,-100,-100,68,100,100,-100,-100,-100,-100,-100,0,-100,-100,-100
"801790.SI",-0.077359147677693,-0.215615558813817,0.138529770865103,0.460222245728782,-0.159588373124519,0.00600988292917556,0.0363582497254576,-0.1593626088794,0.163279213294657,0.253428541689619,-0.0403642931417867,0.403575164370087,0.572464336405057,0.29498442962138,0.134356055275147,0.157838944120802,0.0741723424167079,-0.16424041430663,0.453706104838259,0.0907856423377271,0.364797758049415,0.444425689523043,0.19598686941334,0.170899925070726,0.109304986736592,1,0.103719559478365,0.101126907059136,-100,100,100,-97,-100,100,100,100,-100,-100,100,-100,-100,-100,-100,100,-100,-100,-82,-100,-100,-100,-100,100,100,0,-100,-100
"801880.SI",0.351081957136278,0.199475968672247,0.279827544793054,0.27487090900569,0.454395171683174,0.782626231383773,0.686684492219873,-0.0338491600025997,0.501821611979588,0.630819936040304,0.576061240227455,0.203990418070562,0.229826765251054,0.280238816369775,0.577715271824826,0.628391998749603,0.706606309132043,0.492017037825912,-0.141092798712535,0.653377719665408,0.577218733882573,0.491286111500546,0.506237810224056,0.395811652264243,0.171975642039206,0.103719559478365,1,0.522918165944003,-2,-100,0,-100,-97,0,0,-100,-2,-1,3,100,-100,100,-2,0,-3,-5,100,0,-2,3,100,2,100,100,0,-3
"801890.SI",0.583723728064049,0.453852573582503,0.309170269417569,0.391832917046873,0.475093089341379,0.579175221856269,0.433920520091462,0.165829292865997,0.675456414069235,0.622848867132158,0.361985470092508,0.145084243921509,0.422495157087537,-0.1076390516423,0.728471005171477,0.354325580120874,0.734157683162705,0.811191946506575,0.313835833974286,0.739947261180629,0.758281024385241,0.540751450360969,0.239161366211701,0.516625252961433,-0.259924144868792,0.101126907059136,0.522918165944003,1,0,-100,-2,-60,-6,2,1,-100,-3,-2,3,-2,-3,-100,1,-1,-4,-4,3,2,0,3,100,1,100,100,3,0
