"","X801010.SI","X801020.SI","X801030.SI","X801040.SI","X801050.SI","X801080.SI","X801110.SI","X801120.SI","X801130.SI","X801140.SI","X801150.SI","X801160.SI","X801170.SI","X801180.SI","X801200.SI","X801210.SI","X801230.SI","X801710.SI","X801720.SI","X801730.SI","X801740.SI","X801750.SI","X801760.SI","X801770.SI","X801780.SI","X801790.SI","X801880.SI","X801890.SI","X801010.SI.1","X801020.SI.1","X801030.SI.1","X801040.SI.1","X801050.SI.1","X801080.SI.1","X801110.SI.1","X801120.SI.1","X801130.SI.1","X801140.SI.1","X801150.SI.1","X801160.SI.1","X801170.SI.1","X801180.SI.1","X801200.SI.1","X801210.SI.1","X801230.SI.1","X801710.SI.1","X801720.SI.1","X801730.SI.1","X801740.SI.1","X801750.SI.1","X801760.SI.1","X801770.SI.1","X801780.SI.1","X801790.SI.1","X801880.SI.1","X801890.SI.1"
"801010.SI",1,0.565739558600438,0.544388416318214,0.280280490228821,0.680471092345588,0.682997688864999,0.418282237434296,0.446157930310591,0.87808580085152,0.765409817012645,0.404681302344678,0.249938412773847,0.443600597904695,0.240286600943487,0.854252121090087,0.668971452861318,0.841317161349565,0.639744413730887,0.386541138640688,0.764536862505432,0.578276028515922,0.457028921001447,0.207115750313518,0.580149572277033,-0.272674285458811,0.402941227444139,0.695726739338984,0.765032489947095,0,-175,1,171,-140,1,2,-200,0,1,2,170,127,200,2,1,0,-2,148,3,2,54,100,4,200,200,4,1
"801020.SI",0.565739558600438,1,0.00775566653312465,-0.0462816950376832,0.88151991748236,0.205991568681827,0.0618732857065948,0.845458822645621,0.454457464848135,0.193891417282931,0.086152283615671,-0.411259688705853,-0.0247651459497515,-0.268681974425689,0.666738228296762,-0.0164160338199936,0.338356011395123,0.749099488370289,-0.0337170290793739,0.555261674231807,0.218532662437168,-0.0629098978314679,-0.335453125883753,0.141467518909388,0.0565595215219099,-0.308983049227587,0.516546006729834,0.608234991957836,175,0,200,200,1,200,200,-191,176,200,200,200,200,200,200,200,174,67,200,200,200,200,200,200,-200,200,200,168
"801030.SI",0.544388416318214,0.00775566653312465,1,0.501815821020918,0.0629370982790617,0.57069871261031,0.494341362514002,-0.235704288570986,0.640177968888958,0.847661901710627,0.307973443872008,0.706491822385031,0.686167650757631,0.603514566134284,0.414009588449455,0.767719345771793,0.721009426859747,0.128130160168442,0.580093668513007,0.587729465589481,0.541410484342496,0.762933066186223,0.597642353724482,0.86552307471274,0.0158407866596921,0.651282621459604,0.550262123386976,0.359653083703699,-1,-200,0,0,-200,0,0,-200,-1,0,0,159,-2,2,-2,0,-2,-200,147,0,1,3,135,0,200,200,0,-163
"801040.SI",0.280280490228821,-0.0462816950376832,0.501815821020918,1,-0.0982606345835808,0.602483857155025,0.597696228247506,-0.130234572792792,0.578240339406474,0.565201934398239,0.399647634754706,0.611662331750496,0.810190437724244,0.619289719852388,0.270266768739265,0.582507091578373,0.481998743724251,0.0606158554135597,0.813049171452576,0.44481294407067,0.633477792246416,0.680797751824365,0.676000718394228,0.605545922942857,0.00010519061695092,0.628261689001608,0.488198236399482,0.432540569050691,-171,-200,0,0,-200,200,200,-200,-115,1,200,200,-1,-155,6,200,7,7,1,196,167,56,200,200,-200,109,200,50
"801050.SI",0.680471092345588,0.88151991748236,0.0629370982790617,-0.0982606345835808,1,0.344971011871136,0.155849540237949,0.761171139196369,0.521328055638322,0.261408486140197,0.242397005260839,-0.351068702315433,0.0110070697150291,-0.301930846911328,0.772675551905017,0.107828952943884,0.416128122826558,0.827772583714061,-0.100550747760192,0.619258665898049,0.246993930846415,-0.0119107394428756,-0.22638244856381,0.20513842736803,0.0751811130634458,-0.31365655363695,0.582697177084718,0.655286426391611,140,-1,200,200,0,138,177,-200,137,172,142,200,200,200,173,136,133,6,200,176,167,200,200,200,-200,200,200,134
"801080.SI",0.682997688864999,0.205991568681827,0.57069871261031,0.602483857155025,0.344971011871136,1,0.826937534212098,-0.0293515378664063,0.498670181027047,0.724402736445939,0.824610332973027,0.316554568297445,0.351403146265465,0.299099539158746,0.615102145093713,0.714896954706247,0.754187749445742,0.455445661922532,0.377202052756654,0.742567169131429,0.63652709622405,0.603464773252783,0.564095648163589,0.638998570988181,0.249596444769762,0.258821320733191,0.769672257937005,0.590465034777041,-1,-200,0,-200,-138,0,1,-6,-2,0,1,-1,-5,200,-1,-1,-3,-132,-200,0,-1,1,5,0,200,200,1,-2
"801110.SI",0.418282237434296,0.0618732857065948,0.494341362514002,0.597696228247506,0.155849540237949,0.826937534212098,1,-0.142330787821244,0.276431515391866,0.550179295820091,0.740643615016207,0.322187095286339,0.358935391180772,0.289970978070173,0.425798822356413,0.535247056642126,0.499422486500285,0.281137874330787,0.365983262940034,0.572419321351179,0.536844564566863,0.497260765795133,0.62906571030655,0.531649800820514,0.491431616695791,0.349858586138384,0.649002435240192,0.463347802052818,-2,-200,0,-200,-177,-1,0,-54,-187,-3,0,-1,-200,200,-3,-3,-8,-70,-200,-2,-52,1,7,0,200,-200,-1,-168
"801120.SI",0.446157930310591,0.845458822645621,-0.235704288570986,-0.130234572792792,0.761171139196369,-0.0293515378664063,-0.142330787821244,1,0.333199546147964,-0.0478595264550484,0.10386654089199,-0.484520419188479,-0.266428752346551,-0.438381714440132,0.456374329130477,-0.214961917568379,0.168877391725154,0.707569776421454,-0.0350782888578458,0.221092646527011,0.0356216455473308,-0.375854984688428,-0.420545602924457,-0.211682546549659,0.296987948096597,-0.400219114919101,0.167452268441901,0.492792194572227,200,191,200,200,200,6,54,0,200,200,1,-200,200,200,200,3,200,200,200,200,200,200,-200,200,-200,-200,200,200
"801130.SI",0.87808580085152,0.454457464848135,0.640177968888958,0.578240339406474,0.521328055638322,0.498670181027047,0.276431515391866,0.333199546147964,1,0.850511345454341,0.114023526885009,0.423898830615687,0.707655345631488,0.262604222324552,0.795669622097923,0.695458718193461,0.885928453664471,0.530165709301284,0.588505209999543,0.732073230825995,0.682955643865343,0.641630614181722,0.344981069655495,0.701836931198461,-0.239948650788546,0.549437576924485,0.619715725084042,0.756462898520209,0,-176,1,115,-137,2,187,-200,0,1,166,180,120,200,3,1,0,-1,142,137,157,130,182,130,-200,200,175,3
"801140.SI",0.765409817012645,0.193891417282931,0.847661901710627,0.565201934398239,0.261408486140197,0.724402736445939,0.550179295820091,-0.0478595264550484,0.850511345454341,1,0.379790334987283,0.591780566046884,0.815554595984699,0.392881880311965,0.699324569985714,0.871363318116283,0.914444440576121,0.303156272137164,0.516212932704941,0.752949944814476,0.760163345977421,0.852902500171989,0.566482980711003,0.895729945850573,-0.0302295913036406,0.662631810037489,0.64868850839062,0.632449272362852,-1,-200,0,-1,-172,0,3,-200,-1,0,2,160,0,200,1,0,-2,-133,99,2,3,5,12,2,200,200,1,1
