"","X801010.SI","X801020.SI","X801030.SI","X801040.SI","X801050.SI","X801080.SI","X801110.SI","X801120.SI","X801130.SI","X801140.SI","X801150.SI","X801160.SI","X801170.SI","X801180.SI","X801200.SI","X801210.SI","X801230.SI","X801710.SI","X801720.SI","X801730.SI","X801740.SI","X801750.SI","X801760.SI","X801770.SI","X801780.SI","X801790.SI","X801880.SI","X801890.SI","X801010.SI.1","X801020.SI.1","X801030.SI.1","X801040.SI.1","X801050.SI.1","X801080.SI.1","X801110.SI.1","X801120.SI.1","X801130.SI.1","X801140.SI.1","X801150.SI.1","X801160.SI.1","X801170.SI.1","X801180.SI.1","X801200.SI.1","X801210.SI.1","X801230.SI.1","X801710.SI.1","X801720.SI.1","X801730.SI.1","X801740.SI.1","X801750.SI.1","X801760.SI.1","X801770.SI.1","X801780.SI.1","X801790.SI.1","X801880.SI.1","X801890.SI.1"
"801010.SI",1,0.488200379446309,0.684216025059322,0.259858649851451,0.404051486550942,0.589236539502023,0.456367167004058,0.40129767006143,0.683177478512546,0.686673603554131,0.56183596910951,0.389798664837647,0.358115441108342,0.507253077165445,0.756824747991981,0.473045435039329,0.598535982820041,0.488537889470295,0.214713110986311,0.704231773624379,0.333595614986431,0.434016923832472,0.314711738833484,0.675540243208287,0.255311355105433,0.48960324335968,0.351081957136278,0.583723728064049,0,-215,1,181,-173,0,1,-430,0,1,1,483,94,289,2,1,-1,-3,-164,0,2,5,500,2,-500,325,2,0
"801020.SI",0.488200379446309,1,0.286809253125867,0.0986171852720399,0.682633960725086,0.203367729283705,0.195917591572215,0.573298883510168,0.38919386038824,0.186631165182341,0.245921101823836,0.167663310362466,0.107119137265619,0.277016128779022,0.578037442863694,-0.0018767857483405,0.278439763124204,0.614146385594489,0.218867987605702,0.560575630094018,0.216309526637535,0.103222047885053,0.0860570569755552,0.353266779641048,0.362906705912814,0.192730609278656,0.307045936598654,0.54592869448586,215,0,298,375,40,173,-438,-156,166,173,-482,500,500,500,216,170,164,86,215,216,167,500,-500,245,-497,500,393,162
"801030.SI",0.684216025059322,0.286809253125867,1,0.312550503763216,0.205165950227988,0.475323171490864,0.457499061206877,0.213580475079168,0.527788037933836,0.679242002908374,0.440752265153999,0.401973870077214,0.39788316304528,0.320526204952463,0.451255971472675,0.435115768304481,0.530975197033316,0.212529354582477,0.269868882137158,0.541345153211422,0.261639351362225,0.511917930761425,0.415808020909529,0.791260840100145,0.259446994454507,0.497811653478345,0.279827544793054,0.309170269417569,-1,-298,0,113,-259,0,0,-487,-1,0,0,-4,133,260,-1,-1,-1,0,-268,-1,162,3,4,0,342,320,0,2
"801040.SI",0.259858649851451,0.0986171852720399,0.312550503763216,1,0.247682974436073,0.629233806115325,0.627998116641858,0.086001971389397,0.377559138357309,0.506300284782381,0.574850077845701,0.323489137614017,0.620021951215318,0.490858509079391,0.338320442817541,0.582356471287332,0.500513536232052,0.196682058909197,0.458574955045448,0.438349264679178,0.517457227150944,0.548688405091416,0.730669273640692,0.458632644847119,0.352019356203094,0.460222245728782,0.58145395076964,0.391832917046873,-181,-375,-113,0,80,238,284,-227,-122,234,282,275,-31,-283,225,237,200,145,-119,226,174,280,290,271,429,97,204,60
"801050.SI",0.404051486550942,0.682633960725086,0.205165950227988,0.247682974436073,1,0.417380991214131,0.25874091257649,0.537847994037113,0.498507884943513,0.324936423389379,0.351300602857704,0.292401425699454,0.167960093081262,0.252150940403503,0.591569828117572,0.352496501894961,0.433578223374286,0.629675035763294,0.25113781312185,0.515024415913252,0.303246017503006,0.21972402574266,0.17854991183762,0.279294432523815,0.497306548553054,0.187813757332471,0.45713241363869,0.499739161776101,173,-40,259,-80,0,132,139,-248,132,136,142,500,168,421,171,128,127,5,474,142,3,164,171,176,-500,500,126,131
"801080.SI",0.589236539502023,0.203367729283705,0.475323171490864,0.629233806115325,0.417380991214131,1,0.833111307676936,0.260283582872051,0.566359359931612,0.772696485059552,0.855048035151058,0.173205170047996,0.386737136869379,0.518422366038883,0.608600494934399,0.748544669603669,0.788681195937383,0.471837982513483,0.440782665952802,0.687952567561734,0.553323237144737,0.634687500109929,0.649560343293441,0.554192207339643,0.347474478178164,0.402676293055078,0.782626231383773,0.579175221856269,0,-173,0,-238,-132,0,0,468,-1,0,1,483,-287,268,-1,-1,-2,-56,-294,0,-1,2,5,0,-500,329,0,-2
"801110.SI",0.456367167004058,0.195917591572215,0.457499061206877,0.627998116641858,0.25874091257649,0.833111307676936,1,0.27751441804434,0.38019980014895,0.643842133362201,0.728336562304522,0.224908935602304,0.43197790577049,0.432824787901586,0.49432441375141,0.5689448739314,0.601926980775795,0.428836276776857,0.579950479898831,0.588648536294829,0.453583965361025,0.496927185498131,0.660721149518522,0.513406621810965,0.371013229454375,0.463814899899009,0.686684492219873,0.433920520091462,-1,438,0,-284,-139,0,0,472,-3,-2,0,-337,-327,-491,-1,-3,-5,-7,-306,-1,-46,4,12,1,241,-261,0,-1
"801120.SI",0.40129767006143,0.573298883510168,0.213580475079168,0.086001971389397,0.537847994037113,0.260283582872051,0.27751441804434,1,0.316389218252094,0.172533583209975,0.42140997310957,0.097745295418359,0.151170451845238,-0.0145352231302035,0.542264771745183,0.18671806639828,0.192116507812064,0.545026287916789,0.225064840714935,0.493096452834457,0.218259524634546,0.157497231497982,0.35825169982221,0.394237567397405,0.386180458565107,0.104398725786062,0.373069059496435,0.427270107694556,430,156,487,227,248,-468,-472,0,398,473,-464,-478,500,283,460,-472,214,252,280,445,217,489,-453,500,-375,344,417,389
"801130.SI",0.683177478512546,0.38919386038824,0.527788037933836,0.377559138357309,0.498507884943513,0.566359359931612,0.38019980014895,0.316389218252094,1,0.861697479656081,0.303160316782879,0.412109605261562,0.627170738153089,0.351815210341893,0.748105952784813,0.727664462126906,0.861703449719466,0.500208934228852,0.271644616466387,0.588127687296575,0.547958497482442,0.643065598494837,0.516091209917989,0.593025850310109,0.404961453472771,0.476496965661628,0.501821611979588,0.675456414069235,0,-166,1,122,-132,1,3,-398,0,0,1,366,122,281,2,0,-1,0,144,3,4,6,458,3,-476,329,2,3
"801140.SI",0.686673603554131,0.186631165182341,0.679242002908374,0.506300284782381,0.324936423389379,0.772696485059552,0.643842133362201,0.172533583209975,0.861697479656081,1,0.571387034611982,0.349858652623845,0.642418412323576,0.457394119786304,0.738316283272485,0.811637073792386,0.898246665612806,0.408306637911993,0.475044424116039,0.67168542156956,0.658205324097665,0.806723128068205,0.618075753108614,0.73422071796229,0.374014424126312,0.496766405995677,0.630819936040304,0.622848867132158,-1,-173,0,-234,-136,0,2,-473,0,0,1,310,-1,271,1,-1,-1,-1,-286,1,4,4,7,1,-500,215,1,2
