"","X801010.SI","X801020.SI","X801030.SI","X801040.SI","X801050.SI","X801080.SI","X801110.SI","X801120.SI","X801130.SI","X801140.SI","X801150.SI","X801160.SI","X801170.SI","X801180.SI","X801200.SI","X801210.SI","X801230.SI","X801710.SI","X801720.SI","X801730.SI","X801740.SI","X801750.SI","X801760.SI","X801770.SI","X801780.SI","X801790.SI","X801880.SI","X801890.SI","X801010.SI.1","X801020.SI.1","X801030.SI.1","X801040.SI.1","X801050.SI.1","X801080.SI.1","X801110.SI.1","X801120.SI.1","X801130.SI.1","X801140.SI.1","X801150.SI.1","X801160.SI.1","X801170.SI.1","X801180.SI.1","X801200.SI.1","X801210.SI.1","X801230.SI.1","X801710.SI.1","X801720.SI.1","X801730.SI.1","X801740.SI.1","X801750.SI.1","X801760.SI.1","X801770.SI.1","X801780.SI.1","X801790.SI.1","X801880.SI.1","X801890.SI.1"
"801010.SI",1,0.476898618620109,0.684216025059322,0.259858649851451,0.404051486550942,0.589236539502023,0.456367167004058,0.364035178658453,0.683177478512546,0.686673603554131,0.56183596910951,0.245612304259313,0.358115441108342,0.254434018407598,0.756824747991981,0.473045435039329,0.598535982820041,0.488537889470295,0.214713110986311,0.704231773624379,0.333595614986431,0.434016923832472,0.285937847392648,0.675540243208287,-0.043462078086477,0.2584217000282,0.351081957136278,0.583723728064049,0,-200,1,181,-173,0,1,-5,0,1,1,-1,94,200,2,1,-1,-3,-164,0,2,5,55,2,-73,200,2,0
"801020.SI",0.476898618620109,1,0.146994773062847,0.0883665289981778,0.682633960725086,0.203367729283705,0.135114933201098,0.573298883510168,0.38919386038824,0.186631165182341,0.183544671403939,0.0240469357168812,0.103597349173767,-0.070410563582495,0.564026777955423,-0.0018767857483405,0.278439763124204,0.614146385594489,0.215234494855514,0.551939950721761,0.216309526637535,0.0761086600198083,-0.0587923381457764,0.305813940868425,0.0172813766083665,-0.213700249919814,0.272491735607437,0.54592869448586,200,0,200,0,40,173,171,-156,166,173,200,200,200,52,200,170,164,86,200,200,167,200,200,200,-200,-115,200,162
"801030.SI",0.684216025059322,0.146994773062847,1,0.312550503763216,0.0974652510029803,0.475323171490864,0.457499061206877,0.0360217056023773,0.527788037933836,0.679242002908374,0.440752265153999,0.401973870077214,0.39788316304528,0.264990846830156,0.451255971472675,0.435115768304481,0.530975197033316,0.212529354582477,0.255114535733386,0.541345153211422,0.261639351362225,0.511917930761425,0.415808020909529,0.791260840100145,0.162682156078538,0.343247209578532,0.279827544793054,0.309170269417569,-1,-200,0,113,-200,0,0,-8,-1,0,0,-4,133,200,-1,-1,-1,0,-182,-1,162,3,4,0,-62,200,0,2
"801040.SI",0.259858649851451,0.0883665289981778,0.312550503763216,1,0.247682974436073,0.589683423288778,0.526337850802229,0.0694279255925362,0.377559138357309,0.466924621993467,0.408238812267015,0.282834940517539,0.620021951215318,0.351658112867871,0.326236364738858,0.545184713708819,0.500513536232052,0.196682058909197,0.458574955045448,0.428691870748482,0.517457227150944,0.519417851756746,0.49537167978494,0.388770398847861,0.105013737796824,0.460222245728782,0.580146035909987,0.391832917046873,-181,0,-113,0,80,200,200,-200,-122,200,200,-149,-31,-200,200,200,200,145,-119,200,174,200,200,200,-200,97,200,60
"801050.SI",0.404051486550942,0.682633960725086,0.0974652510029803,0.247682974436073,1,0.417380991214131,0.25874091257649,0.486479040319008,0.498507884943513,0.324936423389379,0.351300602857704,0.0504510234158502,0.167960093081262,0.00300191706734051,0.591569828117572,0.352496501894961,0.433578223374286,0.629675035763294,0.130865812056295,0.515024415913252,0.303246017503006,0.21972402574266,0.17854991183762,0.279294432523815,-0.0254470164091552,-0.152844767509428,0.45713241363869,0.499739161776101,173,-40,200,-80,0,132,139,-200,132,136,142,176,168,48,171,128,127,5,-200,142,3,164,171,176,-200,112,126,131
"801080.SI",0.589236539502023,0.203367729283705,0.475323171490864,0.589683423288778,0.417380991214131,1,0.833111307676936,0.19339266778601,0.566359359931612,0.772696485059552,0.855048035151058,0.14759136518803,0.233920206101132,0.315633535055298,0.608600494934399,0.748544669603669,0.788681195937383,0.471837982513483,0.186583114605924,0.687952567561734,0.553323237144737,0.634687500109929,0.649560343293441,0.554192207339643,0.232772381230843,0.210537087285484,0.782626231383773,0.579175221856269,0,-173,0,-200,-132,0,0,-4,-1,0,1,-1,-8,200,-1,-1,-2,-56,-200,0,-1,2,5,0,107,200,0,-2
"801110.SI",0.456367167004058,0.135114933201098,0.457499061206877,0.526337850802229,0.25874091257649,0.833111307676936,1,0.107516007980271,0.38019980014895,0.643842133362201,0.728336562304522,0.166800348016636,0.244509133429,0.284764294825821,0.49432441375141,0.5689448739314,0.601926980775795,0.428836276776857,0.163019591955831,0.588648536294829,0.453583965361025,0.496927185498131,0.660721149518522,0.513406621810965,0.321112415590036,0.354413662198921,0.686684492219873,0.433920520091462,-1,-171,0,-200,-139,0,0,-54,-3,-2,0,168,-200,200,-1,-3,-5,-7,-200,-1,-46,4,12,1,200,-200,0,-1
"801120.SI",0.364035178658453,0.573298883510168,0.0360217056023773,0.0694279255925362,0.486479040319008,0.19339266778601,0.107516007980271,1,0.271462834064599,0.0971813645015612,0.249368441006556,-0.272280854270762,-0.0861927195120773,-0.143279930990809,0.280857467620752,0.180474122288663,0.184424993507347,0.473217601390157,0.0927436324629482,0.112035707655178,0.192677867917878,-0.15740021202798,-0.189640821564913,-0.10757274981697,0.186314100328774,-0.0321827446468619,0.129957302249944,0.358328392251964,5,156,8,200,200,4,54,0,200,148,1,-200,200,200,200,3,200,200,200,200,200,170,61,131,-93,-190,200,200
"801130.SI",0.683177478512546,0.38919386038824,0.527788037933836,0.377559138357309,0.498507884943513,0.566359359931612,0.38019980014895,0.271462834064599,1,0.861697479656081,0.303160316782879,0.194494164978916,0.627170738153089,0.208821799145304,0.748105952784813,0.727664462126906,0.861703449719466,0.500208934228852,0.271644616466387,0.588127687296575,0.547958497482442,0.643065598494837,0.307220309544811,0.593025850310109,-0.133168438611419,0.400471228540162,0.501821611979588,0.675456414069235,0,-166,1,122,-132,1,3,-200,0,0,1,140,122,200,2,0,-1,0,144,3,4,6,10,3,-81,200,2,3
"801140.SI",0.686673603554131,0.186631165182341,0.679242002908374,0.466924621993467,0.324936423389379,0.772696485059552,0.643842133362201,0.0971813645015612,0.861697479656081,1,0.571387034611982,0.313061173521551,0.642418412323576,0.338191880146339,0.738316283272485,0.811637073792386,0.898246665612806,0.408306637911993,0.251995448230215,0.67168542156956,0.658205324097665,0.806723128068205,0.618075753108614,0.73422071796229,-0.0138506796807574,0.48844553637284,0.630819936040304,0.622848867132158,-1,-173,0,-200,-136,0,2,-148,0,0,1,1,-1,200,1,-1,-1,-1,-200,1,4,4,7,1,200,200,1,2
