"","X801010.SI","X801020.SI","X801030.SI","X801040.SI","X801050.SI","X801080.SI","X801110.SI","X801120.SI","X801130.SI","X801140.SI","X801150.SI","X801160.SI","X801170.SI","X801180.SI","X801200.SI","X801210.SI","X801230.SI","X801710.SI","X801720.SI","X801730.SI","X801740.SI","X801750.SI","X801760.SI","X801770.SI","X801780.SI","X801790.SI","X801880.SI","X801890.SI","X801010.SI.1","X801020.SI.1","X801030.SI.1","X801040.SI.1","X801050.SI.1","X801080.SI.1","X801110.SI.1","X801120.SI.1","X801130.SI.1","X801140.SI.1","X801150.SI.1","X801160.SI.1","X801170.SI.1","X801180.SI.1","X801200.SI.1","X801210.SI.1","X801230.SI.1","X801710.SI.1","X801720.SI.1","X801730.SI.1","X801740.SI.1","X801750.SI.1","X801760.SI.1","X801770.SI.1","X801780.SI.1","X801790.SI.1","X801880.SI.1","X801890.SI.1"
"801010.SI",1,0.49605505191837,0.682616939356635,0.266357266375054,0.412108151060883,0.588417975856634,0.459576639335049,0.404116647751128,0.680042385259617,0.686902301555113,0.562101130230875,0.395386768925386,0.365906884836286,0.51668234894413,0.760135025326789,0.470926948554073,0.594349542404857,0.485868672314861,0.21880011764282,0.702758559207404,0.320286797350851,0.434917010984248,0.320562702239638,0.679271454807115,0.261519370803286,0.492299820954386,0.34915537611661,0.579683217464958,0,-214,1,181,-175,0,3,-429,0,2,2,483,94,288,3,0,-2,-7,-165,0,3,8,496,3,-500,324,230,0
"801020.SI",0.49605505191837,1,0.296163740992166,0.104408009871446,0.692495717565477,0.208937326293503,0.198172123291912,0.581148853334383,0.394373469644561,0.190721489542169,0.244924116147379,0.166664988571383,0.11108539285004,0.277828890444054,0.58736559340053,5.22055177572963e-05,0.283083276078492,0.619462891798732,0.224863772366748,0.566656999049593,0.219953751167304,0.101794135665632,0.0879495504299275,0.362638715033713,0.373142124530237,0.19836528427326,0.307206611708641,0.552158776989896,214,0,301,374,39,178,-440,-157,167,211,-483,500,214,500,216,172,162,83,213,215,166,500,-500,246,-494,500,392,162
"801030.SI",0.682616939356635,0.296163740992166,1,0.324863627028634,0.207712236152865,0.464464481004073,0.455896683671571,0.218739209978147,0.518116695034788,0.675781310381703,0.43531641014924,0.40171034254241,0.398332872498273,0.32420693961514,0.446364339545078,0.428012350820532,0.520977619934249,0.201929813627438,0.276499028258912,0.534883757194965,0.263561065581759,0.503798461903666,0.41584749231656,0.793982147145461,0.270278190258283,0.497374366291267,0.26730649392467,0.295669864763247,-1,-301,0,110,-258,0,0,-500,-1,0,-1,-6,133,-317,-2,-2,-2,0,-267,-2,161,4,6,0,341,319,0,2
"801040.SI",0.266357266375054,0.104408009871446,0.324863627028634,1,0.259228855325078,0.642251852579345,0.639098198912601,0.079937470439215,0.385894919562909,0.518672864614071,0.586642606016811,0.333402670979883,0.625195600830864,0.501055011818674,0.349903818319843,0.595177750651799,0.514912004650557,0.201935375139903,0.462119695096916,0.449548315701868,0.530533773292238,0.570037836565708,0.744846866002149,0.474280942816756,0.35654928501226,0.468385422651918,0.589142374166553,0.394039390882605,-181,-374,-110,0,82,238,284,-228,-135,234,282,272,-31,-282,223,235,202,149,-122,224,176,278,288,271,431,98,205,62
"801050.SI",0.412108151060883,0.692495717565477,0.207712236152865,0.259228855325078,1,0.420976545704564,0.2626090539117,0.548595088640917,0.499699821930305,0.32391808611285,0.360215775861334,0.297329704620781,0.167559920196894,0.254953311816322,0.600262308984113,0.352454544653246,0.435143286481046,0.634788508856258,0.252762067000468,0.520665471505211,0.305014982897067,0.228150290868049,0.188978650133475,0.285466230845776,0.50893693555105,0.191058671321465,0.461157586928763,0.500907651084586,175,-39,258,-82,0,132,142,-244,132,139,145,500,166,419,170,127,125,8,476,145,6,160,171,180,-500,500,116,129
"801080.SI",0.588417975856634,0.208937326293503,0.464464481004073,0.642251852579345,0.420976545704564,1,0.837996108004717,0.268323846551971,0.56284174812209,0.771231936488777,0.858947549451859,0.173962328568829,0.390801738728009,0.523634012266994,0.609307610886268,0.750697210329081,0.790633657884143,0.480959602633489,0.438330903534595,0.686217294689516,0.549726870776046,0.631974523884301,0.656274223025196,0.551025931668677,0.353373313345884,0.399354821102553,0.782478931371823,0.576825710567603,0,-178,0,-238,-132,0,1,469,-1,0,2,482,-285,272,-1,-1,-4,-62,-294,0,-2,3,8,0,-500,328,0,-3
"801110.SI",0.459576639335049,0.198172123291912,0.455896683671571,0.639098198912601,0.2626090539117,0.837996108004717,1,0.284592296958587,0.383933808370793,0.648520476183617,0.734566737990197,0.224453701897889,0.435645206847587,0.439676183674628,0.500071924390292,0.576686918120525,0.612090072548622,0.432526317443442,0.583093855966899,0.591311511525225,0.461292076904292,0.500182318989918,0.672955581222371,0.514321066955449,0.375458717480225,0.476139585883934,0.685875494780055,0.434819273195434,-3,440,0,-284,-142,-1,0,473,-5,-3,0,-340,-326,-493,-3,-6,-8,-11,-311,-3,-46,5,14,0,240,-258,-1,-3
"801120.SI",0.404116647751128,0.581148853334383,0.218739209978147,0.079937470439215,0.548595088640917,0.268323846551971,0.284592296958587,1,0.318391632981293,0.172305665837663,0.428292005459216,0.0966938893712143,0.153814958902998,-0.0149045157235325,0.552068704622243,0.194057864254866,0.190008632429702,0.554997208530146,0.218073033751873,0.494515632229019,0.213982149568778,0.158245427945734,0.363523727216233,0.399211788490139,0.395865542147015,0.091150992883926,0.36938062221583,0.43498969128334,429,157,500,228,244,-469,-473,0,396,474,-463,-478,500,282,460,-471,213,249,282,449,214,483,-452,500,-377,345,417,385
"801130.SI",0.680042385259617,0.394373469644561,0.518116695034788,0.385894919562909,0.499699821930305,0.56284174812209,0.383933808370793,0.318391632981293,1,0.861913202563217,0.299198498851731,0.420186525254487,0.635238039901818,0.356393147310634,0.748394341204859,0.727973200798781,0.861776619827073,0.494186622382588,0.271746805362437,0.585216510778202,0.548634305126364,0.647475230010557,0.522217520735799,0.5941283992705,0.412412941304043,0.478541751381443,0.497527088234206,0.672517035665923,0,-167,1,135,-132,1,5,-396,0,1,2,365,115,280,4,0,-1,0,144,4,7,9,457,6,-477,327,3,5
"801140.SI",0.686902301555113,0.190721489542169,0.675781310381703,0.518672864614071,0.32391808611285,0.771231936488777,0.648520476183617,0.172305665837663,0.861913202563217,1,0.570168469235553,0.35180987185334,0.644952691915411,0.461485341061778,0.738439954128797,0.813495203258936,0.900375064184154,0.403160488203328,0.479189285521316,0.668184356511272,0.660357044171104,0.808987524839018,0.624165970920658,0.734906476811581,0.381226871992286,0.506324841168217,0.62723644953846,0.618098257892175,-2,-211,0,-234,-139,0,3,-474,-1,0,1,310,-2,272,1,-2,-3,-2,-284,1,6,7,10,2,-500,219,1,2
