"","X801010.SI","X801020.SI","X801030.SI","X801040.SI","X801050.SI","X801080.SI","X801110.SI","X801120.SI","X801130.SI","X801140.SI","X801150.SI","X801160.SI","X801170.SI","X801180.SI","X801200.SI","X801210.SI","X801230.SI","X801710.SI","X801720.SI","X801730.SI","X801740.SI","X801750.SI","X801760.SI","X801770.SI","X801780.SI","X801790.SI","X801880.SI","X801890.SI","X801010.SI.1","X801020.SI.1","X801030.SI.1","X801040.SI.1","X801050.SI.1","X801080.SI.1","X801110.SI.1","X801120.SI.1","X801130.SI.1","X801140.SI.1","X801150.SI.1","X801160.SI.1","X801170.SI.1","X801180.SI.1","X801200.SI.1","X801210.SI.1","X801230.SI.1","X801710.SI.1","X801720.SI.1","X801730.SI.1","X801740.SI.1","X801750.SI.1","X801760.SI.1","X801770.SI.1","X801780.SI.1","X801790.SI.1","X801880.SI.1","X801890.SI.1"
"801010.SI",1,0.282922498873147,0.712706138136598,0.228021017581499,0.43278805254687,0.696723901523001,0.515879578194611,0.532303798568991,0.682195408929037,0.746654589781154,0.687618089962013,0.439913497547,0.461977188139446,0.229804961967074,0.735376097146595,0.610544956728875,0.611070678255259,0.407491413232993,0.19765034776212,0.678972378017771,0.385257075454051,0.540625420151285,0.451152730976662,0.710573900132475,0.211611343338156,0.241290068298072,0.391407084116971,0.536895068256876,0,185,1,200,-196,1,2,0,-1,1,1,-1,0,200,1,0,-2,-2,5,1,2,4,7,3,-73,157,1,1
"801020.SI",0.282922498873147,1,0.0597803710822616,0.170193790882893,0.63965470387985,0.0434363890511194,0.0644677340724625,0.331199080530872,0.242710255186718,0.0350935817726186,0.109805208705146,0.143622563205434,0.0890306650751111,0.323554189526359,0.309423400519167,-0.00646291209936421,0.230239257875954,0.465955885809478,0.192896094016965,0.340159595070436,0.143056346937856,0.0463439545488303,0.0458164366109117,0.0570076172047501,0.102955306180688,0.0927371436703231,0.189745599599034,0.316860486807083,-185,0,-161,3,24,173,171,-187,86,200,200,200,174,44,200,56,60,74,-166,140,164,200,200,200,-53,161,61,161
"801030.SI",0.712706138136598,0.0597803710822616,1,0.25354671122212,0.262513692178973,0.628509496936277,0.52682890566142,0.35918095590223,0.598825044802673,0.740567290344019,0.580783240330793,0.432927002991677,0.3948244597874,0.257557462158636,0.483035297967996,0.512185181018273,0.608741442436748,0.321314663084344,0.145856685293581,0.481787972781889,0.317621461919711,0.507068060491655,0.405120181681074,0.723598614197636,0.289805060955072,0.396651424539899,0.372270471506499,0.373005821572201,-1,161,0,6,-200,0,0,-5,-2,0,-1,-4,-4,200,-1,-2,-3,0,-186,0,3,3,3,1,-66,-142,1,2
"801040.SI",0.228021017581499,0.170193790882893,0.25354671122212,1,0.377105063181612,0.384353044211801,0.310263896886419,0.0866575704638724,0.333744559499845,0.263565164609374,0.323100593173125,0.262940694651839,0.462048142443945,0.148880621921347,0.273143916483092,0.345017691571323,0.432404189860676,0.253902817866117,0.304445017375287,0.32819295976638,0.359089387769546,0.221702367150178,0.230206103967212,0.187462712986881,0.17658586235925,0.474976484523558,0.482753640898783,0.284141373270809,-200,-3,-6,0,93,200,200,-200,200,200,200,200,-5,155,200,200,200,1,-3,200,4,200,200,-151,-134,104,200,46
"801050.SI",0.43278805254687,0.63965470387985,0.262513692178973,0.377105063181612,1,0.289564578593668,0.234040863888511,0.282692096536328,0.430202121580907,0.292302478460795,0.324489442961519,0.28743156610724,0.286681320112408,0.357300229499846,0.496641665050336,0.30380833166926,0.323349040745844,0.474981124911694,0.250362253120928,0.404404737363203,0.29233485767528,0.297167396834759,0.324277707035858,0.319517664534399,0.0900231586794121,0.0756037648296886,0.406846050208812,0.338108281204698,196,-24,200,-93,0,137,180,-200,136,200,168,175,175,43,177,134,129,4,-200,138,2,175,180,200,-119,89,10,4
"801080.SI",0.696723901523001,0.0434363890511194,0.628509496936277,0.384353044211801,0.289564578593668,1,0.716695101609674,0.445235557288101,0.623359739201915,0.808840411632938,0.861796123413011,0.341143362000408,0.316464104472642,0.171747816694935,0.585895605096501,0.754195896932138,0.747870461917898,0.440037985375296,0.144313133004231,0.744006406115151,0.50442442838454,0.675475494025934,0.640047155558338,0.68306970227428,0.271617337538095,0.338311917252952,0.713159203966929,0.58894458863269,-1,-173,0,-200,-137,0,1,-3,-2,-1,0,-2,-4,200,-1,-2,-3,-3,-200,0,0,3,4,1,96,-146,0,0
"801110.SI",0.515879578194611,0.0644677340724625,0.52682890566142,0.310263896886419,0.234040863888511,0.716695101609674,1,0.238630767894458,0.521069399829511,0.663293081626081,0.604190998869772,0.250769122151722,0.224791739882284,0.230106992384732,0.517678505619855,0.529215634779804,0.562072445539718,0.497053539051339,0.0675752601815664,0.564953893066605,0.366119402762334,0.501813648851147,0.554163891113006,0.516577545251592,0.206758133726795,0.272628703557778,0.565756346324311,0.484246470829195,-2,-171,0,-200,-180,-1,0,-43,-4,-3,-2,-2,-4,190,-1,-6,-8,-5,-200,-1,0,4,7,2,106,-200,-1,2
"801120.SI",0.532303798568991,0.331199080530872,0.35918095590223,0.0866575704638724,0.282692096536328,0.445235557288101,0.238630767894458,1,0.318131294601294,0.30086289344371,0.483689484938954,0.0438909024525047,-0.0157102812947808,0.0913412259526756,0.297065687007443,0.446854733016243,0.212096520795033,0.198264583854738,0.0741817638589568,0.180088024158312,0.194803493098279,0.0980727293460982,0.14114455379445,0.266583125033344,0.237167026434148,0.214987985235993,0.0812692840781589,0.171554042515808,0,187,5,200,200,3,43,0,4,5,1,-3,148,-194,4,1,3,200,200,3,200,7,9,4,-95,-149,3,200
"801130.SI",0.682195408929037,0.242710255186718,0.598825044802673,0.333744559499845,0.430202121580907,0.623359739201915,0.521069399829511,0.318131294601294,1,0.83037301349104,0.542108975715457,0.42602127038814,0.520701020195131,0.223882361492495,0.773111572911358,0.712156489578506,0.872787332256405,0.505147861452814,0.24951470894648,0.591892383152669,0.449814259750051,0.642217237275866,0.445288940965717,0.501159409511896,0.137581643178732,0.190806120713264,0.484779136664775,0.586715932278063,1,-86,2,-200,-136,2,4,-4,0,1,1,0,1,-7,1,-1,-1,1,45,2,3,5,7,6,-82,-116,1,3
"801140.SI",0.746654589781154,0.0350935817726186,0.740567290344019,0.263565164609374,0.292302478460795,0.808840411632938,0.663293081626081,0.30086289344371,0.83037301349104,1,0.720159029610957,0.481072261710465,0.621977713366665,0.211998325841649,0.732653095928643,0.785074654743642,0.845142064719207,0.456803839085263,0.175040648998922,0.704814239313731,0.618345817146299,0.76190254693812,0.642148585623691,0.727027041768507,0.240584662952802,0.384184476402696,0.588519107867368,0.616779770248666,-1,-200,0,-200,-200,1,3,-5,-1,0,0,-1,-1,200,1,-2,-2,0,46,1,3,5,6,3,-73,155,0,3
