"","X801010.SI","X801020.SI","X801030.SI","X801040.SI","X801050.SI","X801080.SI","X801110.SI","X801120.SI","X801130.SI","X801140.SI","X801150.SI","X801160.SI","X801170.SI","X801180.SI","X801200.SI","X801210.SI","X801230.SI","X801710.SI","X801720.SI","X801730.SI","X801740.SI","X801750.SI","X801760.SI","X801770.SI","X801780.SI","X801790.SI","X801880.SI","X801890.SI","X801010.SI.1","X801020.SI.1","X801030.SI.1","X801040.SI.1","X801050.SI.1","X801080.SI.1","X801110.SI.1","X801120.SI.1","X801130.SI.1","X801140.SI.1","X801150.SI.1","X801160.SI.1","X801170.SI.1","X801180.SI.1","X801200.SI.1","X801210.SI.1","X801230.SI.1","X801710.SI.1","X801720.SI.1","X801730.SI.1","X801740.SI.1","X801750.SI.1","X801760.SI.1","X801770.SI.1","X801780.SI.1","X801790.SI.1","X801880.SI.1","X801890.SI.1"
"801010.SI",1,0.650694830163442,0.527741670558505,0.394822634127333,0.688003663503849,0.670852777848942,0.347131925703129,0.521815542928844,0.853695888220718,0.690273381872249,0.384446043322201,0.361686519514274,0.519926209170343,0.190188406841142,0.86983056788131,0.535819708625711,0.804945245917778,0.676709776042742,0.523845639670945,0.824457778911186,0.530872933396655,0.452375247407617,0.213765886066972,0.553345466851159,-0.313208892429822,0.418368174817874,0.759055248292069,0.785547918469512,0,-177,1,200,-168,1,2,-200,0,1,2,186,164,200,2,2,0,-126,150,3,3,169,181,4,200,200,2,1
"801020.SI",0.650694830163442,1,-0.0359391577866241,-0.0914538143572995,0.951874526844673,0.252051827179654,0.0169800053462927,0.868750754627115,0.486436688578955,0.176557855630542,0.117961087519982,-0.41418038155329,-0.0573712321230756,-0.394906084862517,0.705338259193981,-0.0664826184975551,0.374756905864685,0.825442684599275,0.0329311044946835,0.554944427790486,0.217221258740508,-0.115545502568888,-0.408730884856282,0.0813476760668051,0.0937620920924756,-0.392856313428304,0.477973250239442,0.683808641106338,177,0,200,200,0,200,200,-102,200,200,200,200,200,200,200,200,200,71,200,200,200,200,200,200,-200,200,200,171
"801030.SI",0.527741670558505,-0.0359391577866241,1,0.577760309013845,0.00175157921908642,0.678051976796576,0.551753734589795,-0.247015462523421,0.686788168932862,0.916391234674083,0.316313205460745,0.769432173619251,0.757732615654151,0.744388014859967,0.401688096252195,0.872376899288718,0.80369106854007,0.0968597747451856,0.625352547466981,0.61310639266406,0.609694186828595,0.839083404725252,0.6863104094009,0.896905646034822,0.0298906935296711,0.692873631256076,0.619373786792391,0.338416007461938,-1,-200,0,-2,-200,0,0,-200,0,0,0,154,0,0,-1,0,-1,-200,144,0,2,4,129,0,200,200,0,-162
"801040.SI",0.394822634127333,-0.0914538143572995,0.577760309013845,1,-0.0985015893753184,0.466134402999644,0.538372401892638,-0.198785177952856,0.660484228818379,0.634282155216516,0.296087210299116,0.621367097366853,0.867229623132338,0.671618618323449,0.281223840447317,0.530624105647634,0.497119112259443,-0.0766306804889164,0.809130377058011,0.380434629277148,0.659671951093276,0.730935782624791,0.650450323195658,0.640863444851595,-0.0402406441286222,0.714105960511942,0.482525428512966,0.318931256774305,-200,-200,2,0,-200,200,200,-200,-118,-45,200,2,-2,-118,-120,-119,3,3,3,189,10,51,200,14,200,108,198,15
"801050.SI",0.688003663503849,0.951874526844673,0.00175157921908642,-0.0985015893753184,1,0.28546213926369,0.0618653337702989,0.816500664108391,0.49842072503187,0.213865201379121,0.186413335385111,-0.35326967274815,-0.0232715375365085,-0.371673970466392,0.739827176509636,-0.0309372461382328,0.373461410749143,0.827601453814783,0.00403922230358606,0.574465626400423,0.226303772802292,-0.0735188557250096,-0.319311275228787,0.122057231472617,0.098441972743951,-0.384520726339433,0.47861249284746,0.678106833114087,168,0,200,200,0,173,186,-25,171,200,140,200,200,200,175,182,174,7,200,177,200,200,200,200,-200,200,179,138
"801080.SI",0.670852777848942,0.252051827179654,0.678051976796576,0.466134402999644,0.28546213926369,1,0.793611161298105,-0.018451676707315,0.503364810556881,0.70541044882358,0.791781047063469,0.445684297082249,0.319088720649952,0.285539323798757,0.593120397698741,0.650361645391869,0.736547809286232,0.426334764356887,0.284700011396181,0.806906458201474,0.601337374737784,0.564333535506205,0.511549970318946,0.706891835234555,0.195426835846726,0.336743229323069,0.83516581231468,0.563639835141401,-1,-200,0,-200,-173,0,1,-200,-1,-1,1,165,-4,200,-1,-1,-3,-135,-200,0,-1,2,6,0,200,200,0,-1
"801110.SI",0.347131925703129,0.0169800053462927,0.551753734589795,0.538372401892638,0.0618653337702989,0.793611161298105,1,-0.190254965854304,0.269862000989454,0.523523567492656,0.666085575017285,0.396079885722649,0.375838373169563,0.262855427468742,0.333015934827306,0.498605334215251,0.459263421718556,0.164739358973796,0.287990442941993,0.538975336044534,0.474302420401672,0.477326102359498,0.617777866020247,0.551917725625814,0.461354448019612,0.434212414449931,0.59726405814436,0.358867275101183,-2,-200,0,-200,-186,-1,0,-55,-190,-3,0,160,-200,200,-2,-3,-6,-9,-200,-2,-46,4,12,0,200,-200,-3,-173
"801120.SI",0.521815542928844,0.868750754627115,-0.247015462523421,-0.198785177952856,0.816500664108391,-0.018451676707315,-0.190254965854304,1,0.362781805811082,-0.0530930774938398,0.110967951202795,-0.53203666672008,-0.286092173852331,-0.510401550308746,0.482298824159204,-0.300296638918085,0.200323402898389,0.738826275214994,0.00383556052634004,0.235393821278834,0.00845282271103042,-0.394931505441546,-0.469340911124659,-0.221790853227763,0.288462741677026,-0.425167799548993,0.126545422399847,0.544761648432976,200,102,200,200,25,200,55,0,200,200,1,-200,200,200,200,200,200,200,200,200,200,200,-200,200,-200,-200,200,200
"801130.SI",0.853695888220718,0.486436688578955,0.686788168932862,0.660484228818379,0.49842072503187,0.503364810556881,0.269862000989454,0.362781805811082,1,0.840608440011992,0.0976589986470533,0.537095432421664,0.770194583000729,0.356134136727806,0.798283359210994,0.659656340146563,0.893923492348604,0.497707391012746,0.71900275782316,0.747384739298473,0.759793438576363,0.693371043818064,0.40320463559384,0.708626086290946,-0.242169797388778,0.585085152749166,0.639317544142481,0.740742646975974,0,-200,0,118,-171,1,190,-200,0,1,167,177,128,0,2,1,0,-1,142,3,158,135,182,4,-200,200,2,3
"801140.SI",0.690273381872249,0.176557855630542,0.916391234674083,0.634282155216516,0.213865201379121,0.70541044882358,0.523523567492656,-0.0530930774938398,0.840608440011992,1,0.306299122035508,0.714007817015077,0.821393244903959,0.596991922418588,0.641818668806555,0.865109423408185,0.906335906001323,0.249158005294399,0.661352338534349,0.773068711379151,0.75344593368411,0.854705351101943,0.633122583296329,0.936029705242678,-0.0397097197006402,0.730643970011447,0.711140808727119,0.557268932281192,-1,-200,0,45,-200,1,3,-200,-1,0,2,159,1,0,0,0,-2,-140,119,1,4,6,131,1,200,200,0,1
"801150.SI",0.384446043322201,0.117961087519982,0.316313205460745,0.296087210299116,0.186413335385111,0.791781047063469,0.666085575017285,0.110967951202795,0.0976589986470533,0.306299122035508,1,0.230463597530784,0.0898712140683182,0.0604818718735504,0.325239972886961,0.357310183150541,0.327112916467219,0.337961629100063,0.121748609317524,0.497023321329873,0.373400160793101,0.22981630005658,0.430819818847228,0.305616815211415,0.376316260877459,0.164928080970408,0.519034055571332,0.420664065713757,-2,-200,0,-200,-140,-1,0,-1,-167,-2,0,-2,-200,200,-2,-2,-4,-144,-200,-2,-182,1,2,-2,114,-196,-4,-159
"801160.SI",0.361686519514274,-0.41418038155329,0.769432173619251,0.621367097366853,-0.35326967274815,0.445684297082249,0.396079885722649,-0.53203666672008,0.537095432421664,0.714007817015077,0.230463597530784,1,0.810612489692935,0.766842708690533,0.36053314003621,0.700315965041179,0.531725611161443,-0.0933114653579476,0.534124233265401,0.552875204928461,0.555384930441493,0.812005505816231,0.834310609640985,0.826196668363202,0.414844949966183,0.788559231408743,0.562783616644957,0.241089673134263,-186,-200,-154,-2,-200,-165,-160,200,-177,-159,2,0,-34,-87,-200,-136,-162,-200,5,-200,3,2,5,-145,200,112,-167,-200
"801170.SI",0.519926209170343,-0.0573712321230756,0.757732615654151,0.867229623132338,-0.0232715375365085,0.319088720649952,0.375838373169563,-0.286092173852331,0.770194583000729,0.821393244903959,0.0898712140683182,0.810612489692935,1,0.719664695595385,0.448663737257828,0.712214245083951,0.659700858031585,0.125959899358296,0.757389374156342,0.529968738237117,0.707356559762157,0.896921950260801,0.702219627051034,0.856393940629316,0.106553849690989,0.853047704801003,0.492599394809303,0.349827395481792,-164,-200,0,2,-200,4,200,-200,-128,-1,200,34,0,0,-126,0,-123,-200,7,-117,7,14,127,2,200,126,-125,-131
"801180.SI",0.190188406841142,-0.394906084862517,0.744388014859967,0.671618618323449,-0.371673970466392,0.285539323798757,0.262855427468742,-0.510401550308746,0.356134136727806,0.596991922418588,0.0604818718735504,0.766842708690533,0.719664695595385,1,0.19648266097264,0.695549075370095,0.374186024176157,-0.179107278092675,0.575472879975911,0.359074762942247,0.343892376340719,0.705717734370955,0.613036749156789,0.635693461598643,0.184292002296338,0.675858174500752,0.377955651114367,0.0543990949872435,-200,-200,0,118,-200,-200,-200,-200,0,0,-200,87,0,0,-200,1,0,-200,140,-200,135,8,16,2,-25,200,-200,-200
"801200.SI",0.86983056788131,0.705338259193981,0.401688096252195,0.281223840447317,0.739827176509636,0.593120397698741,0.333015934827306,0.482298824159204,0.798283359210994,0.641818668806555,0.325239972886961,0.36053314003621,0.448663737257828,0.19648266097264,1,0.41740159075055,0.747658417008687,0.771429640437457,0.365451963620122,0.896589451458802,0.636425748196794,0.452505805399544,0.287178989487823,0.567296887990789,-0.156824394238244,0.375961580344524,0.784613458043935,0.853124764296623,-2,-200,1,120,-175,1,2,-200,-2,0,2,200,126,200,0,0,-2,-126,115,1,3,138,200,4,200,200,1,-1
"801210.SI",0.535819708625711,-0.0664826184975551,0.872376899288718,0.530624105647634,-0.0309372461382328,0.650361645391869,0.498605334215251,-0.300296638918085,0.659656340146563,0.865109423408185,0.357310183150541,0.700315965041179,0.712214245083951,0.695549075370095,0.41740159075055,1,0.750329117014095,0.0637063195273127,0.538490981266337,0.557286360046039,0.527646732606803,0.801063183408298,0.703219921125876,0.845355391924517,0.0497372302470863,0.62363354525877,0.560913576655612,0.272021406578937,-2,-200,0,119,-182,1,3,-200,-1,0,2,136,0,-1,0,0,-1,-179,157,1,3,5,95,2,200,200,-2,1
"801230.SI",0.804945245917778,0.374756905864685,0.80369106854007,0.497119112259443,0.373461410749143,0.736547809286232,0.459263421718556,0.200323402898389,0.893923492348604,0.906335906001323,0.327112916467219,0.531725611161443,0.659700858031585,0.374186024176157,0.747658417008687,0.750329117014095,1,0.484282883741161,0.603460100458686,0.815139232549333,0.743586219735927,0.673547413643604,0.491505784774715,0.804603416007521,-0.23058959719008,0.592611340675785,0.771189381920103,0.749996182380515,0,-200,1,-3,-174,3,6,-200,0,2,4,162,123,0,2,1,0,-1,143,4,6,132,166,4,200,200,3,4
"801710.SI",0.676709776042742,0.825442684599275,0.0968597747451856,-0.0766306804889164,0.827601453814783,0.426334764356887,0.164739358973796,0.738826275214994,0.497707391012746,0.249158005294399,0.337961629100063,-0.0933114653579476,0.125959899358296,-0.179107278092675,0.771429640437457,0.0637063195273127,0.484282883741161,1,0.105328694805486,0.703949256162499,0.31215489980227,0.111861823642492,-0.0979784964037888,0.253812494172249,-0.160999464532462,-0.0466893247718881,0.640499772242877,0.829748350288423,126,-71,200,-3,-7,135,9,-200,1,140,144,200,200,200,126,179,1,0,139,141,5,200,200,200,-200,200,159,6
"801720.SI",0.523845639670945,0.0329311044946835,0.625352547466981,0.809130377058011,0.00403922230358606,0.284700011396181,0.287990442941993,0.00383556052634004,0.71900275782316,0.661352338534349,0.121748609317524,0.534124233265401,0.757389374156342,0.575472879975911,0.365451963620122,0.538490981266337,0.603460100458686,0.105328694805486,1,0.356806250307713,0.585734893524656,0.632783694814676,0.461544154002257,0.552157427572777,0.0362950224294152,0.779207988775664,0.390999987413573,0.39667764722465,-150,-200,-144,-3,-200,200,200,-200,-142,-119,200,-5,-7,-140,-115,-157,-143,-139,0,-139,-2,-2,200,-46,-200,91,175,-4
"801730.SI",0.824457778911186,0.554944427790486,0.61310639266406,0.380434629277148,0.574465626400423,0.806906458201474,0.538975336044534,0.235393821278834,0.747384739298473,0.773068711379151,0.497023321329873,0.552875204928461,0.529968738237117,0.359074762942247,0.896589451458802,0.557286360046039,0.815139232549333,0.703949256162499,0.356806250307713,1,0.731483433841912,0.607101761517794,0.508232814151551,0.769273132496226,0.0414293754109444,0.51709863885835,0.940131872172376,0.813645753503323,-3,-200,0,-189,-177,0,2,-200,-3,-1,2,200,117,200,-1,-1,-4,-141,139,0,0,5,164,1,200,200,0,-135
"801740.SI",0.530872933396655,0.217221258740508,0.609694186828595,0.659671951093276,0.226303772802292,0.601337374737784,0.474302420401672,0.00845282271103042,0.759793438576363,0.75344593368411,0.373400160793101,0.555384930441493,0.707356559762157,0.343892376340719,0.636425748196794,0.527646732606803,0.743586219735927,0.31215489980227,0.585734893524656,0.731483433841912,1,0.705091330598196,0.520056616824767,0.737031082036633,0.134333297355693,0.577400251972049,0.668766693991202,0.684674142681835,-3,-200,-2,-10,-200,1,46,-200,-158,-4,182,-3,-7,-135,-3,-3,-6,-5,2,0,0,2,178,0,200,154,1,-1
"801750.SI",0.452375247407617,-0.115545502568888,0.839083404725252,0.730935782624791,-0.0735188557250096,0.564333535506205,0.477326102359498,-0.394931505441546,0.693371043818064,0.854705351101943,0.22981630005658,0.812005505816231,0.896921950260801,0.705717734370955,0.452505805399544,0.801063183408298,0.673547413643604,0.111861823642492,0.632783694814676,0.607101761517794,0.705091330598196,1,0.813173992302906,0.938229519391962,0.265765432350554,0.766531423373473,0.572969043462911,0.392658095349281,-169,-200,-4,-51,-200,-2,-4,-200,-135,-6,-1,-2,-14,-8,-138,-5,-132,-200,2,-5,-2,0,4,-3,200,105,-127,-160
"801760.SI",0.213765886066972,-0.408730884856282,0.6863104094009,0.650450323195658,-0.319311275228787,0.511549970318946,0.617777866020247,-0.469340911124659,0.40320463559384,0.633122583296329,0.430819818847228,0.834310609640985,0.702219627051034,0.613036749156789,0.287178989487823,0.703219921125876,0.491505784774715,-0.0979784964037888,0.461544154002257,0.508232814151551,0.520056616824767,0.813173992302906,1,0.759261098192463,0.5405869264326,0.663181977559468,0.576426904115437,0.22050848152587,-181,-200,-129,-200,-200,-6,-12,200,-182,-131,-2,-5,-127,-16,-200,-95,-166,-200,-200,-164,-178,-4,0,-128,200,-200,-164,-200
